epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,831.364,0.96634,1.68628,1.88465,0.02618,0.94923,0.84488,0.91664,0.72685,0.59347,1.04249,0.80621,0.01686,0.00998985,0.00332995,0.00998985,0.00332995,0.00998985,0.00332995,0.00998985,0.00332995
2,1541.88,0.96336,0.73352,1.18478,0.03396,0.93418,0.81327,0.88731,0.68866,0.64566,1.19547,0.73678,0.01938,0.019594,0.00653135,0.019594,0.00653135,0.019594,0.00653135,0.019594,0.00653135
3,2221.71,1.02267,0.87366,1.11994,0.03907,0.93169,0.79197,0.86605,0.6668,0.74794,3.46837,0.76615,0.02333,0.0288022,0.00960075,0.0288022,0.00960075,0.0288022,0.00960075,0.0288022,0.00960075
4,2892.29,1.12299,1.10374,1.18459,0.04414,0.90286,0.79773,0.86961,0.65855,0.73162,2.93292,0.77198,0.02041,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,3566.6,1.08676,1.06766,1.16103,0.03971,0.92885,0.78242,0.85635,0.63727,0.73375,3.46466,0.76419,0.0243,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,4236.18,1.08202,1.04484,1.15568,0.03816,0.93283,0.78724,0.86178,0.67085,0.67058,4.98438,0.72453,0.02075,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,4916.17,1.05843,0.98166,1.1468,0.03574,0.93736,0.82055,0.90042,0.70691,0.62618,1.91688,0.68038,0.01779,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,5586.66,1.02513,0.94299,1.12206,0.03296,0.92785,0.82883,0.9024,0.70826,0.62024,2.22896,0.68156,0.01611,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,6254.45,1.01381,0.93971,1.1219,0.03214,0.93299,0.8125,0.89202,0.70722,0.6445,1.57427,0.70028,0.01658,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,6925.47,1.00184,0.88571,1.10378,0.0313,0.91793,0.83221,0.89941,0.71797,0.61963,3.58055,0.6716,0.01593,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,7597.67,0.99322,0.84331,1.09994,0.03277,0.94006,0.83286,0.90461,0.72528,0.60761,1.73019,0.67406,0.01455,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
